#,Service name,Start page,Start page URL,Service URL,Department
1,Sign in to your Universal Credit account,/sign-in-universal-credit,https://gov.uk/sign-in-universal-credit,https://www.universal-credit.service.gov.uk/sign-in,DWP
2,Tax your vehicle,/vehicle-tax,https://gov.uk/vehicle-tax,https://vehicletax.service.gov.uk/,DfT
3,Get a free PCR test to check if you have coronavirus (COVID-19),/get-coronavirus-test,https://gov.uk/get-coronavirus-test,https://self-referral.test-for-coronavirus.service.gov.uk/antige,DHSC
4,HMRC services: sign in or register,/log-in-register-hmrc-online-services,https://gov.uk/log-in-register-hmrc-online-services,https://www.tax.service.gov.uk/account,HMRC
5,"Tell DVLA you've sold, transferred or bought a vehicle",/sold-bought-vehicle,https://gov.uk/sold-bought-vehicle,https://www.buysellvehicle.service.gov.uk/sell-private/vehicle-looku,DfT
6,Check the MOT history of a vehicle,/check-mot-history,https://gov.uk/check-mot-history,https://www.check-mot.service.gov.uk/,DfT
7,Claim Universal Credit,/universal-credit,https://gov.uk/universal-credit,https://www.universal-credit.service.gov.uk/postcode-checke,DWP
8,Check if a vehicle is taxed,/check-vehicle-tax,https://gov.uk/check-vehicle-tax,https://vehicleenquiry.service.gov.uk/,DfT
9,Find coronavirus financial support for your business,/business-coronavirus-support-finder,https://gov.uk/business-coronavirus-support-finder,https://www.gov.uk/business-coronavirus-support-finder/y,GDS
10,Fill in your passenger locator form,/provide-journey-contact-details-before-travel-uk,https://gov.uk/provide-journey-contact-details-before-travel-uk,https://provide-journey-contact-details.homeoffice.gov.uk/passengerLocatorFormUserAccountHolderQuestion,HO
11,Contact DVLA,/contact-the-dvla,https://gov.uk/contact-the-dvla,https://www.gov.uk/contact-the-dvla/y,DfT
12,Get information about a company,/get-information-about-a-company,https://gov.uk/get-information-about-a-company,https://beta.companieshouse.gov.uk/,HMRC
13,Check the MOT status of a vehicle,/check-mot-status,https://gov.uk/check-mot-status,https://vehicleenquiry.service.gov.uk/,DfT
14,Check your State Pension age,/state-pension-age,https://gov.uk/state-pension-age,https://www.gov.uk/state-pension-age/y,DWP
15,Entering the UK,/uk-border-control,https://gov.uk/uk-border-control,No start button on page,HO
16,View or share your driving licence information,/view-driving-licence,https://gov.uk/view-driving-licence,https://www.viewdrivingrecord.service.gov.uk/driving-record/licence-number,DfT
17,Personal tax account: sign in or set up,/personal-tax-account,https://gov.uk/personal-tax-account,https://www.gov.uk/personal-tax-account/sign-in/prove-identity,HMRC
18,Claim a tax refund,/claim-tax-refund,https://gov.uk/claim-tax-refund,https://www.gov.uk/claim-tax-refund/y,HMRC
19,Calculate your statutory redundancy pay,/calculate-your-redundancy-pay,https://gov.uk/calculate-your-redundancy-pay,https://www.gov.uk/calculate-your-redundancy-pay/y,DWP
20,Check if you need to send a Self Assessment tax return,/check-if-you-need-tax-return,https://gov.uk/check-if-you-need-tax-return,https://www.gov.uk/check-if-you-need-tax-return/y,HMRC
21,Get vehicle information from DVLA,/get-vehicle-information-from-dvla,https://gov.uk/get-vehicle-information-from-dvla,https://vehicleenquiry.service.gov.uk/,DfT
22,File your Self Assessment tax return online,/log-in-file-self-assessment-tax-return,https://gov.uk/log-in-file-self-assessment-tax-return,https://www.gov.uk/log-in-file-self-assessment-tax-return/sign-in/prove-identit,HMRC
23,Benefits calculators,/benefits-calculators,https://gov.uk/benefits-calculators,No start button on page,DWP
24,Check if you need a UK visa,/check-uk-visa,https://gov.uk/check-uk-visa,https://www.gov.uk/check-uk-visa/y,HO
25,Self Assessment tax returns,/self-assessment-tax-returns,https://gov.uk/self-assessment-tax-returns,No start button on page,HMRC
26,Login or register for student finance,/student-finance-register-login,https://gov.uk/student-finance-register-login,https://logon.slc.co.uk/cas/login,DfE
27,Calculate holiday entitlement,/calculate-your-holiday-entitlement,https://gov.uk/calculate-your-holiday-entitlement,https://www.gov.uk/calculate-your-holiday-entitlement/y,DWP
28,Student finance calculator,/student-finance-calculator,https://gov.uk/student-finance-calculator,https://www.gov.uk/student-finance-calculator/y,DfE
29,Register to vote,/register-to-vote,https://gov.uk/register-to-vote,https://www.registertovote.service.gov.uk/register-to-vote/start,CO
30,Sign in to your childcare account,/sign-in-childcare-account,https://gov.uk/sign-in-childcare-account,https://childcare-support.tax.service.gov.uk/par/app/trialmessage,DfE
