Status,Year,Parent_department,Headcount
In post,2023,Attorney General's Departments,10730
In post,2023,Cabinet Office,10220
In post,2023,Chancellor's other departments,425
In post,2023,Charity Commission,500
In post,2023,Competition and Markets Authority,910
In post,2023,"Department for Business, Energy and Industrial Strategy",14415
In post,2023,"Department for Digital, Culture, Media and Sport",1940
In post,2023,Department for Education,8485
In post,2023,"Department for Environment, Food and Rural Affairs",13070
In post,2023,Department for International Trade,3535
In post,2023,"Department for Levelling Up, Housing and Communities",4180
In post,2023,Department for Transport,16385
In post,2023,Department for Work and Pensions,87770
In post,2023,Department of Health and Social Care,10265
In post,2023,Estyn,125
In post,2023,Food Standards Agency,1575
In post,2023,"Foreign, Commonwealth and Development Office",8800
In post,2023,HM Land Registry,6715
In post,2023,HM Revenue and Customs,72380
In post,2023,HM Treasury,2705
In post,2023,Home Office,43125
In post,2023,Ministry of Defence,58180
In post,2023,Ministry of Justice,91875
In post,2023,National Crime Agency,5565
In post,2023,Northern Ireland Office,165
In post,2023,"Office for Standards in Education, Children's Services and Skills",2040
In post,2023,Office of Gas and Electricity Markets,1555
In post,2023,Office of Qualifications and Examinations Regulation,345
In post,2023,Office of Rail and Road,370
In post,2023,Office of the Secretary of State for Scotland,130
In post,2023,Office of the Secretary of State for Wales,45
In post,2023,Scottish Government,27625
In post,2023,The National Archives,590
In post,2023,UK Export Finance,520
In post,2023,UK Statistics Authority,6130
In post,2023,UK Supreme Court,55
In post,2023,Water Services Regulation Authority,265
In post,2023,Welsh Government,6050
Leaver CS,2023,Attorney General's Departments,800
Leaver CS,2023,Cabinet Office,1135
Leaver CS,2023,Chancellor's other departments,65
Leaver CS,2023,Charity Commission,50
Leaver CS,2023,Competition and Markets Authority,120
Leaver CS,2023,"Department for Business, Energy and Industrial Strategy",1140
Leaver CS,2023,"Department for Digital, Culture, Media and Sport",240
Leaver CS,2023,Department for Education,545
Leaver CS,2023,"Department for Environment, Food and Rural Affairs",1125
Leaver CS,2023,Department for International Trade,260
Leaver CS,2023,"Department for Levelling Up, Housing and Communities",390
Leaver CS,2023,Department for Transport,1650
Leaver CS,2023,Department for Work and Pensions,8425
Leaver CS,2023,Department of Health and Social Care,2630
Leaver CS,2023,Estyn,15
Leaver CS,2023,Food Standards Agency,95
Leaver CS,2023,"Foreign, Commonwealth and Development Office",435
Leaver CS,2023,HM Land Registry,495
Leaver CS,2023,HM Revenue and Customs,4585
Leaver CS,2023,HM Treasury,365
Leaver CS,2023,Home Office,2520
Leaver CS,2023,Ministry of Defence,5190
Leaver CS,2023,Ministry of Justice,10025
Leaver CS,2023,National Crime Agency,370
Leaver CS,2023,Northern Ireland Office,10
Leaver CS,2023,"Office for Standards in Education, Children's Services and Skills",235
Leaver CS,2023,Office of Gas and Electricity Markets,260
Leaver CS,2023,Office of Qualifications and Examinations Regulation,25
Leaver CS,2023,Office of Rail and Road,35
Leaver CS,2023,Office of the Secretary of State for Scotland,15
Leaver CS,2023,Office of the Secretary of State for Wales,5
Leaver CS,2023,Scottish Government,1715
Leaver CS,2023,The National Archives,90
Leaver CS,2023,UK Export Finance,75
Leaver CS,2023,UK Statistics Authority,695
Leaver CS,2023,UK Supreme Court,20
Leaver CS,2023,Water Services Regulation Authority,40
Leaver CS,2023,Welsh Government,210
Leaver Dept.,2023,Attorney General's Departments,280
Leaver Dept.,2023,Cabinet Office,1710
Leaver Dept.,2023,Chancellor's other departments,10
Leaver Dept.,2023,Charity Commission,20
Leaver Dept.,2023,Competition and Markets Authority,35
Leaver Dept.,2023,"Department for Business, Energy and Industrial Strategy",710
Leaver Dept.,2023,"Department for Digital, Culture, Media and Sport",245
Leaver Dept.,2023,Department for Education,540
Leaver Dept.,2023,"Department for Environment, Food and Rural Affairs",585
Leaver Dept.,2023,Department for International Trade,220
Leaver Dept.,2023,"Department for Levelling Up, Housing and Communities",460
Leaver Dept.,2023,Department for Transport,600
Leaver Dept.,2023,Department for Work and Pensions,2740
Leaver Dept.,2023,Department of Health and Social Care,635
Leaver Dept.,2023,Food Standards Agency,60
Leaver Dept.,2023,"Foreign, Commonwealth and Development Office",235
Leaver Dept.,2023,HM Revenue and Customs,1420
Leaver Dept.,2023,HM Treasury,285
Leaver Dept.,2023,Home Office,1200
Leaver Dept.,2023,Ministry of Defence,720
Leaver Dept.,2023,Ministry of Justice,1805
Leaver Dept.,2023,National Crime Agency,105
Leaver Dept.,2023,Northern Ireland Office,35
Leaver Dept.,2023,"Office for Standards in Education, Children's Services and Skills",45
Leaver Dept.,2023,Office of Gas and Electricity Markets,80
Leaver Dept.,2023,Office of Qualifications and Examinations Regulation,15
Leaver Dept.,2023,Office of Rail and Road,15
Leaver Dept.,2023,Office of the Secretary of State for Scotland,10
Leaver Dept.,2023,Office of the Secretary of State for Wales,5
Leaver Dept.,2023,Scottish Government,175
Leaver Dept.,2023,The National Archives,10
Leaver Dept.,2023,UK Export Finance,15
Leaver Dept.,2023,UK Statistics Authority,245
Leaver Dept.,2023,Water Services Regulation Authority,10
