,Abbr,Organisation,Body,service,Servicetype,URL,Servicedesc,Customertype,Businesmodel,Comments,201212,201212digital,201303,201303digital,201306,201306digital,201309,201309digital,201312,201312digital,201403,201403digital,201406,201406digital,201409,201409digital,201412,201412digital,201503,201503digital,201506,201506digital,201509,201509digital,201512,201512digital,201603,201603digital,201606,201606digital,201609,201609digital,201612,201612digital,201703,201703digital,max_observed
427,Home Office,Home Office,Home Office,Passenger arrivals at the UK border,Requesting a licence or consent,,Data for identity and nationality checks on people entering the UK from Europe and worldwide.,Individuals,Taxpayers,Numbers include all passengers including British citizens.,,,106100000,0,106441369,0,108300000,0,110200000,0,111400000,0,112200000,0,110200000,0,115300000,0,117000000,0,118700000,0,120500000,0,122200000,0,123400000,0,124900000,0,126000000,0,128000000,0,129900000,0,129900000
360,DWP,Department for Work and Pensions,Department for Work and Pensions,Jobseeker's Allowance: job search reviews,Requesting information,https://www.gov.uk/movingfrombenefitstowork,Data for Jobsearch reviews provided every 2 weeks for claimants of Jobseeker's Allowance and National Insurance contribution credits.,Individuals,Taxpayers,The number of transactions given is the annual number of jobsearch reviews undertaken.<br>Not all reviews are for people claiming JSA. Jobsearch reviews are also provided for people attending in support of their claim for NI credits of contributions only.,38950000,0,38830000,0,38330000,0,37640000,0,36450000,0,34600000,0,32380000,0,,0,,,,0,,,,,,,,,,0,,0,,0,,0,38950000
348,DWP,Department for Work and Pensions,Department for Work and Pensions,Jobcentre Plus: job search support,Requesting information,https://www.gov.uk/movingfrombenefitstowork,Data for the annual number of advisory interviews with jobseekers carried out by Jobcentre Plus advisers.,Individuals,Taxpayers,The number of transactions per quarter is no longer available.,23290000,0,23390000,0,23630000,0,24150000,0,24760000,0,24440000,0,24680000,0,,0,,,,0,,,,,,,,,,0,,0,,0,,0,24760000
369,DWP,Department for Work and Pensions,Department for Work and Pensions,State Pension: existing claims,Requesting benefits payments or loans,https://www.gov.uk/statepension/howtoclaim,Data for State Pension claimants living in the UK.,Individuals,Taxpayers,Maintaining claims involves many interactions with people across the duration of their claim. It includes contacts about changes of circumstances or compliance checks that could affect eligibility and the investigation of potential fraud and error. It also includes the making of payments and queries about nonreceipt.<br>The rolling year number of transactions given is the annual average of the number of cases on the caseload. The most recent quarterly data provided is a snap shot of total volumes of cases on the caseload (data obtained from NOMIS).,11420000,0,11530000,0,11560000,0,12210223,0,12537885,0,12868635,0,12887573,0,12910175,0,12932525,0,12949613,0,12957780,0,12959393,0,12958205,,12955330,,12956675,0,12954137,0,12953219,0,12945797,0,12959393
247,DfT,Department for Transport,Driver and Vehicle Licensing Agency,Vehicle registration certificate changes,Providing information,,Data for requests to make name and address changes to V5C vehicle registration certificates (log books).,Individuals,Fees and charges,From April 2014 volumes for 'Register or amend fleet vehicle details' have been integrated with this service.,,,,,40936023,,12117041,,12437148,,12511029,,12777242,0,12853288,0,12885079,0,12906094,0,12050603,0,12119206,4018,12196672,97889,12261366,238869,12242679,238869,12225511,234851,11780738,140980,11445897,0,40936023
428,Home Office,Home Office,HM Passport Office,Domestic applications for UK passports,Requesting a licence or consent,https://www.gov.uk/applyrenewpassport,Data for domestic applications for new renewed replacement updated or extended UK passports.,Individuals,Fees and charges,Volumes relate to the number of applications processed.<br>Figures cover all passport types: jumbo standard adult child first time renewals replacement fast track and premium.,5400000,611000,5315466,899671,5365323,828651,5434622,679437,5580197,627762,5609530,564649,5658238,544358,5620447,542619,5873392,669616,5940817,762065,6305446,1009700,6602454,,6308975,,6368410,,6545620,,6646210,,6670275,,6626448,,6670275
118,CO,Cabinet Office,Government Digital Service,Epetition signatures,Providing information,https://www.gov.uk/petitiongovernment,Data for signatures on epetitions.,Individuals,Taxpayers,,6400000,6400000,4820000,4820000,4490000,4490000,5118265,5118265,4610858,4610858,4437591,4437591,4783747,4783747,4408760,4408760,4648400,4648400,4961827,4961827,4863624,4863624,3868019,3868019,,,21692,,,,,,,,,,6400000
368,DWP,Department for Work and Pensions,Department for Work and Pensions,Budgeting Loans applications,Requesting benefits payments or loans,https://www.gov.uk/budgetingloans,Data for applications for Budgeting Loans to pay for rent furniture clothes and other essential purchases.,Individuals,Taxpayers,Budgeting Loans can involve several interactions with both the applicant and third parties. Processes include validating identity and eligibility compliance checks the investigation of potential fraud and error and appeals against decisions made. It also includes the making of payments and any queries about nonreceipt. <br>Covers applications processed for Crisis Loans Budgeting Loans Community Care Funeral and Maternity Grants whether successful or not.<br> Note: Crisis loans and Community Care grants are no longer available in England Scotland or Wales.,5010000,0,4830000,0,4740000,0,4020000,0,3260000,0,2600000,0,1860000,0,1777300,0,1703100,,1574474,0,1478163,0,1455816,0,1435795,0,1400191,0,1348387,0,1325681,0,1287978,0,1233322,0,5010000
370,DWP,Department for Work and Pensions,Department for Work and Pensions,Universal Jobmatch: CVs uploaded by jobseekers,Providing information,https://www.gov.uk/jobsearch,Data for CVs uploaded by jobseekers looking for fulltime or parttime jobs in the UK and abroad.,Individuals,Taxpayers,The number of transactions relates to the number of CVs uploaded to the Universal Jobmatch service by jobseekers holding an account. (Note: only five CVs can be stored at any one time in a jobseeker's account but these can be overwritten any number of times.)<br>This type of internal management information does not form part of the official statistics outputs that are released by the Department in accordance with the UK Statistics Authority’s Code of Practice.,,,,,2420000,2420000,3860000,3860000,5210000,5210000,5640000,5640000,5123000,5123000,4648936,4648936,,,,,,,,,,,,,,,,,,,,,5640000
371,DWP,Department for Work and Pensions,Department for Work and Pensions,Universal Jobmatch: accounts created by jobseekers,Registering,https://www.gov.uk/jobsearch,Data for accounts created by jobseekers looking for fulltime or parttime jobs in the UK and abroad.,Individuals,Taxpayers,The volumes cover the number of new accounts created by jobseekers on the Universal Jobmatch (UJ) service. These are accounts jobseekers have created for themselves on the UJ service which will enable them to save preferred job search criteria receive automated notifications of job vacancies matching their criteria upload and store CVs and enable their details to be searchable by DWP staff and employers.<br>This type of internal management information does not form part of the official statistics outputs that are released by the Department in accordance with the UK Statistics Authority’s Code of Practice.,,,,,2440000,2440000,3710000,3710000,4810000,4810000,4760000,4760000,3997000,3997000,3515162,3515162,,,,,,,,,,,,,,,,,,,,,4810000
