,user_ID,service,task_content_category,service_tasks,source_1,source_2,source_3,source_4,source_5,source_6,physical_strength,physical_dexterity,physical_navigation,information_processing,problem_solving,serving/attending,teaching/training/coaching,selling/influencing,managing/coordinating,caring,NRA,RM,NRM,RC,NRI,organisation,govuk_start_page_url,topic,priority,retired,verb,service_category,excluded,send_physical_letters,receive_physical_letters,manual_document_checking,identity_check,task_count,popularity,interpersonal_interaction,team_structure,form_type,rubric_score_manual,rubric_score_GPT3.5,rubric_score_GPT4,task_group_category,RTI_NRA,RTI_RM,RTI_NRM,RTI_RC,RTI_NRI,RTI,RTI_perc
0,1,apply for a national insurance number,['information processing'],"['performing related administrative tasks to process applications, document activities, evaluations and determinations, and to prepare correspondence to inform applicants of licensing decisions', 'recording, preparing, sorting, classifying and filing information', 'preparing reports and correspondence of a routine nature', 'verifying the accuracy of information provided']",https://www.apply-national-insurance-number.service.gov.uk/apply/welcome,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,Department for Work and Pensions,https://www.apply-national-insurance-number.service.gov.uk/apply/welcome,"Working, jobs and pensions",False,False,Apply,Transactional service,False,No,No,,,4,0,,,,,,,['RC'],0.0,0.0,0.0,1.0,0.0,1.0,100.0
1,3,tax your vehicle,['information processing'],"['performing related administrative tasks to record findings, transactions, violations and determinations', 'recording, preparing, sorting, classifying and filing information', 'verifying the accuracy of information provided', 'processing insurance enrolments, cancellations, claims transactions, policy changes and payments']",https://www.gov.uk/vehicle-tax#more-information,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,Driver and Vehicle Licensing Agency,https://vehicletax.service.gov.uk/,Driving and transport,True,False,Vehicle,Transactional service,False,No,No,,,4,0,,,,,,,['RC'],0.0,0.0,0.0,1.0,0.0,1.0,100.0
2,2,apply for ozone-depleting substances (ods) quota,"['information processing', 'problem solving']","['assessing the likely impact that potential or proposed activities, projects and developments may have on the environment, and recommending whether such developments should proceed', 'examining applications and relevant documents and determining whether a licence can be granted and the conditions which should be attached', 'performing related administrative tasks to process applications, document activities, evaluations and determinations, and to prepare correspondence to inform applicants of licensing decisions', 'recording, preparing, sorting, classifying and filing information', 'filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents', 'verifying the accuracy of information provided']","https://www.gov.uk/guidance/applying-for-quota-to-import-or-produce-ozone-depleting-substances#:~:text=Scotland%20and%20Wales).-,How%20to%20apply%20for%20ODS%20quota,depleting%20substances%20(%20ODS%20)%20quota.",,,,,,0,0,0,1,1,0,0,0,0,0,2,0,0,4,0,Environment Agency,https://apply-quota.ozone-depleting-substances.service.gov.uk/,Environment and countryside,False,False,Apply,Transactional service,False,No,No,,,6,0,,,,,,,"['NRA', 'RC']",0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,66.66666666666666
3,1,national security vetting service,"['information processing', 'problem solving']","['recommending, reviewing, evaluating and approving documents, briefs and reports submitted by middle managers and senior staff members', 'conducting threat and risk assessments and developing responses ', 'performing related administrative tasks to document findings, maintain records and report on actions taken for cases', 'performing related administrative tasks to maintain client records and prepare reports on determinations regarding eligibility, referral decisions, termination of benefits and abuse or fraud', 'investigating facts, assembling evidence and researching relevant statutes, decisions and other legal documents to prepare cases ', 'examining documentation such as mortgages, liens, judgements, easements, contracts and maps in order to verify properties’ legal descriptions and ownership', 'collecting information relevant to clients’ needs and assessing their relevant skills, strengths and deficits', 'recording, preparing, sorting, classifying and filing information', 'transcribing information onto computers, and proofreading and correcting copy', 'filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents', 'verifying the accuracy of information provided', 'writing business and government correspondence such as replies to requests for information and assistance, damage claims, credit and billing enquiries and service complaints']",https://www.gov.uk/guidance/united-kingdom-security-vetting-applicant,https://www.gov.uk/government/publications/vetting-explained-and-our-vetting-charter/vetting-explained,,,,,0,0,0,1,1,0,0,0,0,0,3,0,0,8,1,Cabinet Office,https://nsv.mod.uk/Login.aspx?ReturnUrl=%2f,National security,True,False,Guide,Transactional service,False,No,No,,,12,0,"• The provision of the service requires a high degree of interaction and interpersonal communication between individual users and service providers (e.g., an interview is required, home-visits are required).","• Internal administrative staff: civil servants in the respective government department or agency accountable to the permanent secretary, the most senior civil servant in the department                                 •  Administrative tribunal: specialist court who often sit in a panel and whose judges and members hear a wide range of cases","• Webpage-based form (e.g., HTML)",LP,MP,MP,"['NRA', 'RC', 'NRI']",0.25,0.0,0.0,0.6666666666666666,0.08333333333333333,0.3333333333333333,66.66666666666666
4,1,biomass suppliers list,"['physical navigation', 'information processing', 'problem solving', 'serving/attending']","['controlling administrative operations such as budget planning, report preparation, and expenditure on supplies, equipment and services', ""assessing an organization's compliance with government and internal environmental regulations and guidelines, identifying violations and determining appropriate remedial action"", 'analysing and evaluating current systems and structures', 'reviewing operating procedures and advising of departures from procedures and standards', 'conducting threat and risk assessments and developing responses ', 'reviewing operations and programmes to ensure consistency with policies of the organization', 'inspecting areas of production, processing, transport, handling, storage and sale of products to ensure conformity with government and other rules, regulations and standards', 'writing and answering business or technical letters and other similar correspondence', 'performing related administrative tasks to document findings, maintain records and report on actions taken for cases', 'performing related administrative tasks to maintain client records and prepare reports on determinations regarding eligibility, referral decisions, termination of benefits and abuse or fraud', 'performing related administrative tasks to process applications, document activities, evaluations and determinations, and to prepare correspondence to inform applicants of licensing decisions', 'examining places of business to ensure the use of correct weights and measures in trade', 'participating in the selection and admission of clients to appropriate programmes ', 'recording, preparing, sorting, classifying and filing information', 'preparing reports and correspondence of a routine nature', 'checking figures, preparing invoices and recording details of financial transactions made', 'filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents', 'recommending legal action or discontinuation of service when payment cannot be otherwise obtained', 'verifying the accuracy of information provided', 'obtaining and compiling statistical or actuarial data based on routine or special sources of information', 'writing business and government correspondence such as replies to requests for information and assistance, damage claims, credit and billing enquiries and service complaints', 'receiving and verifying payment by cash, cheque, credit card or automatic debit in stores, ticket offices or similar establishments']",https://www.gov.uk/register-biomass-supplier,https://www.biomass-suppliers-list.service.gov.uk/wp-content/uploads/2022/11/03-Applications-and-Audit-Guidance-v2.1.pdf,https://www.biomass-suppliers-list.service.gov.uk/wp-content/uploads/2022/11/04-BSL-Application-user-guide-for-Self-Suppliers-v2.pdf,,,,0,0,1,1,1,1,0,0,0,0,4,0,0,15,3,"Department for Business, Energy & Industrial Strategy",https://www.gov.uk/register-biomass-supplier,Environment and countryside,True,False,Biomass,Transactional service,False,No,No,,,22,0,"• The provision of the service does not require any interpersonal interaction between individual users and service providers (i.e., applications can be completed entirely online, by post, or by email).","• Internal administrative staff: civil servants in the respective government department or agency accountable to the permanent secretary, the most senior civil servant in the department","• Webpage-based form (e.g., HTML)                                                           • Document-based form (e.g., PDF)",MP,HP,MP,"['NRA', 'RC', 'NRI']",0.18181818181818182,0.0,0.0,0.6818181818181818,0.13636363636363635,0.3636363636363636,68.18181818181817
5,2,get or manage mot reminders,"['information processing', 'serving/attending']","['recording, preparing, sorting, classifying and filing information', 'responding to telephone or electronic enquiries or forwarding to appropriate person', 'transcribing information onto computers, and proofreading and correcting copy', 'filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents']",https://www.gov.uk/mot-reminder,,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,Driver and Vehicle Standards Agency,https://www.gov.uk/mot-reminder,Driving and transport,False,False,Get,Transactional service,False,No,No,,,4,0,,,,,,,['RC'],0.0,0.0,0.0,1.0,0.0,1.0,100.0
6,2,pay a dvla fine,"['information processing', 'serving/attending', 'physical dexterity']","['recording, preparing, sorting, classifying and filing information', 'preparing reports and correspondence of a routine nature', 'responding to telephone or electronic enquiries or forwarding to appropriate person', 'transcribing information onto computers, and proofreading and correcting copy', 'filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents', 'verifying the accuracy of information provided', 'receiving and verifying payment by cash, cheque, credit card or automatic debit in stores, ticket offices or similar establishments', 'counting and recording money received or paid out and balancing against cash register sales records', 'sorting, opening and sending mail']",https://www.gov.uk/pay-dvla-fine,,,,,,0,1,0,1,0,1,0,0,0,0,0,1,0,8,0,Driver and Vehicle Licensing Agency,https://paydvlafine.service.gov.uk/search,Driving and transport,False,False,Pay,Transactional service,False,No,Yes,,,9,0,,,,,,,"['RM', 'RC']",0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,1.0,100.0
7,2,register a vehicle,"['information processing', 'problem solving', 'physical dexterity']","['examining applications and relevant documents and determining whether a licence can be granted and the conditions which should be attached', 'performing related administrative tasks to process applications, document activities, evaluations and determinations, and to prepare correspondence to inform applicants of licensing decisions', 'recording, preparing, sorting, classifying and filing information', 'filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents', 'verifying the accuracy of information provided', 'sorting, opening and sending mail']",https://www.gov.uk/vehicle-registration,,,,,,0,1,0,1,1,0,0,0,0,0,1,1,0,4,0,Driver and Vehicle Licensing Agency,https://register-vehicle.service.gov.uk/,Driving and transport,False,False,Register,Transactional service,False,No,Yes,,,6,0,,,,,,,"['NRA', 'RM', 'RC']",0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,83.33333333333333
8,1,submit social housing lettings and sales data (core),['information processing'],"['using standard computer software packages to perform mathematical, actuarial, statistical, accounting and related calculations', 'recording, preparing, sorting, classifying and filing information', 'filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents', 'verifying the accuracy of information provided', 'obtaining and compiling statistical or actuarial data based on routine or special sources of information', 'writing business and government correspondence such as replies to requests for information and assistance, damage claims, credit and billing enquiries and service complaints']",https://submit-social-housing-lettings-sales-data.service.gov.uk,https://dluhcdigital.blog.gov.uk/2022/01/17/introducing-a-new-service-to-submit-social-housing-lettings-and-sales-data-core/https://dluhcdigital.blog.gov.uk/2022/01/17/introducing-a-new-service-to-submit-social-housing-lettings-and-sales-data-core/,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,"Department for Levelling Up, Housing & Communities",https://submit-social-housing-lettings-sales-data.service.gov.uk,Housing and local services,False,False,Submit,Transactional service,False,No,No,,,6,0,,,,,,,"['RC', 'NRI']",0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666667,83.33333333333334
9,2,"replace a lost, stolen or damaged blue badge","['information processing', 'problem solving']","['examining applications and relevant documents and determining whether a licence can be granted and the conditions which should be attached', 'performing related administrative tasks to process applications, document activities, evaluations and determinations, and to prepare correspondence to inform applicants of licensing decisions', 'recording, preparing, sorting, classifying and filing information', 'filing and storing completed documents on computer hard drive or disk, or maintain a computer filing system to store, retrieve or update documents', 'verifying the accuracy of information provided']",https://www.gov.uk/replace-lost-stolen-blue-badge,,,,,,0,0,0,1,1,0,0,0,0,0,1,0,0,4,0,Department for Transport,https://apply-blue-badge.service.gov.uk/replace-a-blue-badge,Driving and transport,False,False,Replace,Transactional service,False,No,No,,,5,0,,,,,,,"['NRA', 'RC']",0.2,0.0,0.0,0.8,0.0,0.6000000000000001,80.0
