"","Unnamed: 0","organisation","service","historical_service_equiv","historical_service_equiv_jb","web_archive_value","other_website_value","final_transactions_value","final_transactions_value_source","note","unique_clicks_2022","govuk_start_page_url","topic","priority","retired","verb","service_type","service_category","excluded","exclusion_comment","send_physical_letters","receive_physical_letters","manual_document_checking","identity_check","unique_clicks_2021","requesting_information","unique_clicks_final","predicted_transactions","transaction_value","RTI","task_count","RTI_perc","rubric_score_manual","org_n","org_name"
"1",318,"NHS Digital","report a covid-19 test result",NA,"x","x",NA,NA,"no value",NA,101483774,"https://test-for-coronavirus.service.gov.uk/report-result","Coronavirus",0,FALSE,"Report","Providing information","Special sign-in required",TRUE,"I cant fully access the service as I need the details of a rapid antigen test (the test strip number) - even after providing, I don't believe this service would qualify - it appears to be a reporting mechanism more than a service",NA,NA,NA,NA,101483774,0,101483774,12722612.3027656,12722612.3027656,NA,NA,NA,NA,4,"Other"
"2",130,"Driver and Vehicle Standards Agency","check mot history",NA,"x","x",NA,NA,"no value","on the gov webpage it says it is a new service",43647011,"https://www.check-mot.service.gov.uk/","Driving and transport",0,FALSE,"Check","Requesting information","Fully-automated",TRUE,NA,NA,NA,NA,NA,43647011,1,43647011,25977778.9201266,25977778.9201266,NA,NA,NA,NA,16,"Driver and Vehicle Standards Agency"
"3",311,"NHS Digital","get a coronavirus test",NA,"x","x",NA,NA,"no value",NA,28197611,"https://self-referral.test-for-coronavirus.service.gov.uk/antigen","Coronavirus",0,FALSE,"Get","Requesting information","Currently unavailable",TRUE,"This service is no longer operational",NA,NA,NA,NA,28197611,1,28197611,3454.35801444157,3454.35801444157,NA,NA,NA,NA,4,"Other"
"4",308,"Home Office","fill in your passenger locator form",NA,"x","x",NA,NA,"no value",NA,22211549,"https://www.gov.uk/provide-journey-contact-details-before-travel-uk","Coronavirus",0,TRUE,"Fill","Requesting information","Currently unavailable",TRUE,NA,NA,NA,NA,NA,0,1,22211549,3000.46490498681,3000.46490498681,NA,NA,NA,NA,25,"Home Office"
"5",148,"Driver and Vehicle Licensing Agency","private sale of a vehicle",NA,"x","x",NA,NA,"no value","this is kind of all the steps needed to sell a vehicle",9117063,"https://www.buysellvehicle.service.gov.uk/sell-private/vehicle-lookup","Driving and transport",0,FALSE,"Access","Providing information","Fully-automated",TRUE,NA,NA,NA,NA,NA,9117063,0,9117063,4388017.2967489,4388017.2967489,NA,NA,NA,NA,16,"Driver and Vehicle Licensing Agency"
"6",291,"Home Office","view or prove your immigration status",NA,"x","x",NA,NA,"no value",NA,7664212,"https://view-immigration-status.service.gov.uk/status","Visas and immigration",0,FALSE,"View","Providing information","Information-based",TRUE,"This is an information-based service, and I cannot access the full service to determine whether aspects of it might qualify as transactional",NA,NA,NA,NA,7664212,0,7664212,1048915.21346949,1048915.21346949,NA,NA,NA,NA,25,"Home Office"
"7",309,"Department of Health and Social Care","find a coronavirus (covid-19) travel test provider",NA,"x","x",NA,NA,"no value",NA,6565740,"https://www.gov.uk/find-travel-test-provider","Coronavirus",0,TRUE,"Find","Requesting information","Currently unavailable",TRUE,NA,NA,NA,NA,NA,0,1,6565740,1461.25293466536,1461.25293466536,NA,NA,NA,NA,5,"Other"
"8",230,"Department for Levelling Up, Housing & Communities","find an energy certificate",NA,"x","x",NA,NA,"no value","not present",5954359,"https://find-energy-certificate.service.gov.uk/find-a-certificate/type-of-property","Housing and local services",0,FALSE,"Find","Requesting information","Fully-automated",TRUE,"This is an information-based service which provides access to a register of info based on the postcode the user inputs",NA,NA,NA,NA,5954359,1,5954359,6216828.77543429,6216828.77543429,NA,NA,NA,NA,9,"Other"
"9",286,"Home Office","prove your right to work",NA,"x","x",NA,NA,"no value",NA,3387429,"https://right-to-work.service.gov.uk/prove","Visas and immigration",0,FALSE,"Prove","Providing information","Fully-automated",TRUE,"I cannot access the full service because I need to input visa/passport/biometric data - it appears as though this service is mostly (if not entirely) automated though.",NA,NA,NA,NA,3387429,0,3387429,702853.079370136,702853.079370136,NA,NA,NA,NA,25,"Home Office"
"10",346,"Department for Environment, Food & Rural Affairs","drive in a clean air zone",NA,"x","x",NA,NA,"no value","not present",2832843,"https://multiple-vehiclecheck.drive-clean-air-zone.service.gov.uk/what_would_you_like_to_do","Driving and transport",1,FALSE,"Drive","Registering","Transactional service",FALSE,NA,NA,NA,NA,NA,2832843,0,2832843,3238314.61010204,3238314.61010204,1,2,100,NA,17,"Department for Environment, Food & Rural Affairs"
"11",372,"HM Revenue and Customs","pay your self assessment tax bill",NA,"x","x",NA,NA,"no value",NA,2700716,"https://www.tax.service.gov.uk/pay/self-assessment/choose-a-way-to-pay","Money and tax",1,FALSE,"Pay","Making a payment","Transactional service",FALSE,NA,NA,NA,NA,NA,2700716,0,2700716,525324.091577014,525324.091577014,0.818181818181818,11,90.9090909090909,NA,30,"HM Revenue and Customs"
"12",290,"Home Office","view a job applicant's right to work",NA,"x","x",NA,NA,"no value",NA,2496953,"https://right-to-work.service.gov.uk/view","Visas and immigration",0,FALSE,"View","Requesting information","Information-based",TRUE,"This is an information-based service.",NA,NA,NA,NA,2496953,1,2496953,1270740.55175778,1270740.55175778,NA,NA,NA,NA,25,"Home Office"
"13",141,"Driver and Vehicle Standards Agency","mot testing service",NA,"x","x",NA,NA,"no value",NA,2373627,"https://www.mot-testing.service.gov.uk","Driving and transport",0,FALSE,"Access","Requesting information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,1,2373627,6852043.06173075,6852043.06173075,1,5,100,NA,16,"Driver and Vehicle Standards Agency"
"14",256,"HM Revenue and Customs","look up commodity codes, import duties, taxes and controls (uk integrated online tariff)",NA,"x","x",NA,NA,"no value",NA,1710581,"https://www.trade-tariff.service.gov.uk/trade-tariff/sections","Money and tax",0,FALSE,"Look","Requesting information","Fully-automated",TRUE,"This is an information-based service that provides access to information based on what the user inputs (users can look up tariffs for commodities)",NA,NA,NA,NA,1710581,1,1710581,640415.501983558,640415.501983558,NA,NA,NA,NA,30,"HM Revenue and Customs"
"15",74,"Department for Work and Pensions","calculate your child maintenance","Child maintenance transactions","x","x",NA,NA,"no value","Not present in the web data. Child maintenance transactions are represented in the spreadsheet but not quite the same thing",1678413,"https://child-maintenance.dwp.gov.uk/calculate/","Childcare and parenting",0,FALSE,"Calculate","Requesting benefit payments or loans","Fully-automated",TRUE,NA,NA,NA,NA,NA,1678413,0,1678413,158267.252166652,158267.252166652,NA,NA,NA,NA,27,"Department for Work and Pensions"
"16",35,"Companies House","file a confirmation statement",NA,"x","x",NA,NA,"no value","not present",1476035,"https://www.gov.uk/file-your-confirmation-statement-with-companies-house","Business and self-employed",0,FALSE,"File","Amending/deleting information","Transactional service",FALSE,NA,"Yes","No","Yes","Yes",0,0,1476035,254800.583177807,254800.583177807,1,6,100,NA,7,"Other"
"17",366,"UK Visas and Immigration","apply to the eu settlement scheme",NA,"x","x",NA,NA,"no value","A new brexit thing",1269369,"https://apply-to-visit-or-stay-in-the-uk.homeoffice.gov.uk/euss","Visas and immigration",1,FALSE,"Apply","Requesting a licence or consent","Transactional service",FALSE,NA,NA,NA,NA,NA,1269369,0,1269369,579347.788438223,579347.788438223,0.75,8,87.5,NA,6,"Other"
"18",371,"HM Revenue and Customs","check your income tax",NA,"x","x",NA,NA,"no value",NA,1103739,"https://www.gov.uk/check-income-tax-current-year","Money and tax",1,FALSE,"Check","Requesting information","Transactional service",FALSE,NA,NA,NA,NA,NA,0,1,1103739,727544.292929196,727544.292929196,0.833333333333333,12,91.6666666666667,NA,30,"HM Revenue and Customs"
"19",254,"HM Revenue and Customs","get help with savings if you’re on a low income (help to save)",NA,"x","x",NA,NA,"no value",NA,1054826,"https://www.tax.service.gov.uk/help-to-save/access-account","Money and tax",0,FALSE,"Get","Requesting information","Transactional service",FALSE,NA,"No","No","No","No",1054826,1,1054826,708334.343291652,708334.343291652,0.6,5,80,NA,30,"HM Revenue and Customs"
"20",25,"HM Revenue and Customs","check a uk vat number",NA,"x","x",NA,NA,"no value",NA,1019495,"https://www.tax.service.gov.uk/check-vat-number/enter-vat-details","Business and self-employed",0,FALSE,"Check","Requesting information","Information-based",TRUE,"Just seems to be a simple lookup between the user entry and a database",NA,NA,NA,NA,1019495,1,1019495,301293.074845927,301293.074845927,NA,NA,NA,NA,30,"HM Revenue and Customs"
