"title","description","organisation_political","organisation_type","organisation_featuring_priority","potential_service","potential_service_link"
"Prime Minister's Office, 10 Downing Street","10 Downing Street is the official residence and the office of the British Prime Minister. The office helps the Prime Minister to establish and deliver the government’s overall strategy and policy priorities, and to communicate the government’s policies to Parliament, the public and international audiences.",TRUE,"executive_office","news","The No 10 media blog","https://no10media.blog.gov.uk/"
"Accelerated Capability Environment","ACE is part of the Home Office .",FALSE,"sub_organisation","service","no_featured_links",NA
"Bona Vacantia","‘Bona Vacantia’ means vacant goods and is the name given to ownerless property, which by law passes to the Crown. The Treasury Solicitor acts for the Crown to administer the estates of people who die intestate (without a Will) and without known kin (entitled blood relatives) and collect the assets of dissolved companies and other various ownerless goods in England and Wales. BVD is part of the Government Legal Department .",FALSE,"sub_organisation","news","Unclaimed estates list","https://www.gov.uk/government/statistical-data-sets/unclaimed-estates-list"
"Bona Vacantia","‘Bona Vacantia’ means vacant goods and is the name given to ownerless property, which by law passes to the Crown. The Treasury Solicitor acts for the Crown to administer the estates of people who die intestate (without a Will) and without known kin (entitled blood relatives) and collect the assets of dissolved companies and other various ownerless goods in England and Wales. BVD is part of the Government Legal Department .",FALSE,"sub_organisation","news","Make a claim to a deceased person's estate","https://www.gov.uk/make-a-claim-to-a-deceased-persons-estate"
"Bona Vacantia","‘Bona Vacantia’ means vacant goods and is the name given to ownerless property, which by law passes to the Crown. The Treasury Solicitor acts for the Crown to administer the estates of people who die intestate (without a Will) and without known kin (entitled blood relatives) and collect the assets of dissolved companies and other various ownerless goods in England and Wales. BVD is part of the Government Legal Department .",FALSE,"sub_organisation","news","Refer a deceased person's estate","https://www.gov.uk/refer-a-deceased-persons-estate-to-the-treasury-solicitor"
"Bona Vacantia","‘Bona Vacantia’ means vacant goods and is the name given to ownerless property, which by law passes to the Crown. The Treasury Solicitor acts for the Crown to administer the estates of people who die intestate (without a Will) and without known kin (entitled blood relatives) and collect the assets of dissolved companies and other various ownerless goods in England and Wales. BVD is part of the Government Legal Department .",FALSE,"sub_organisation","news","Apply for a waiver letter","https://www.gov.uk/apply-for-a-waiver-letter-wa1"
"Bona Vacantia","‘Bona Vacantia’ means vacant goods and is the name given to ownerless property, which by law passes to the Crown. The Treasury Solicitor acts for the Crown to administer the estates of people who die intestate (without a Will) and without known kin (entitled blood relatives) and collect the assets of dissolved companies and other various ownerless goods in England and Wales. BVD is part of the Government Legal Department .",FALSE,"sub_organisation","news","Dissolved company guidelines","https://www.gov.uk/government/collections/bona-vacantia-companies-guidelines"
"Border Force","Border Force is a law enforcement command within the Home Office. We secure the UK border by carrying out immigration and customs controls for people and goods entering the UK. Border Force is part of the Home Office .",FALSE,"sub_organisation","service","Entering the UK ","https://www.gov.uk/uk-border-control"
"Border Force","Border Force is a law enforcement command within the Home Office. We secure the UK border by carrying out immigration and customs controls for people and goods entering the UK. Border Force is part of the Home Office .",FALSE,"sub_organisation","service","Registered Traveller service","https://www.gov.uk/registered-traveller"
"Border Force","Border Force is a law enforcement command within the Home Office. We secure the UK border by carrying out immigration and customs controls for people and goods entering the UK. Border Force is part of the Home Office .",FALSE,"sub_organisation","service","Bringing goods into the UK ","https://www.gov.uk/duty-free-goods"
"Border Force","Border Force is a law enforcement command within the Home Office. We secure the UK border by carrying out immigration and customs controls for people and goods entering the UK. Border Force is part of the Home Office .",FALSE,"sub_organisation","service","Bringing food, animals or plants into the UK","https://www.gov.uk/bringing-food-animals-plants-into-uk/pets-and-other-animals"
"Border Force","Border Force is a law enforcement command within the Home Office. We secure the UK border by carrying out immigration and customs controls for people and goods entering the UK. Border Force is part of the Home Office .",FALSE,"sub_organisation","service","Report an immigration crime","https://www.gov.uk/report-immigration-crime"
"British Cattle Movement Service","We maintain an online database of all bovine animals in Great Britain called the Cattle Tracing System (CTS). BCMS is part of the Rural Payments Agency .",FALSE,"sub_organisation","news","Use the Cattle Tracing System (CTS) Online","https://www.gov.uk/cattle-tracing-online"
"British Cattle Movement Service","We maintain an online database of all bovine animals in Great Britain called the Cattle Tracing System (CTS). BCMS is part of the Rural Payments Agency .",FALSE,"sub_organisation","news","Guidance on keeping cattle, bison and buffalo in Great Britain","https://www.gov.uk/government/collections/guidance-on-keeping-cattle-bison-and-buffalo-in-great-britain"
"Cabinet Office Board","The Board forms the collective strategic and operational leadership of the department, bringing together its ministerial and civil service leaders with senior non-executives from outside government. Cabinet Office Board is part of the Cabinet Office .",FALSE,"sub_organisation","news","no_featured_links",NA
"Central Digital and Data Office","We lead the digital, data and technology (DDaT) function for government. CDDO is part of the Cabinet Office .",FALSE,"sub_organisation","news","no_featured_links",NA
"Centre for Connected and Autonomous Vehicles ","CCAV is part of the Department for Transport and the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Connected and automated mobility 2025: realising the benefits of self-driving vehicles","https://www.gov.uk/government/publications/connected-and-automated-mobility-2025-realising-the-benefits-of-self-driving-vehicles"
"Centre for Connected and Autonomous Vehicles ","CCAV is part of the Department for Transport and the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Trialling automated vehicle technologies in public","https://www.gov.uk/government/publications/trialling-automated-vehicle-technologies-in-public"
"Centre for Connected and Autonomous Vehicles ","CCAV is part of the Department for Transport and the Department for Business, Energy & Industrial Strategy .",FALSE,"sub_organisation","service","Future of Transport programme","https://www.gov.uk/government/collections/future-of-transport-programme"
"Centre for Data Ethics and Innovation","The CDEI is a government expert body enabling the trustworthy use of data and AI. CDEI is part of the Department for Digital, Culture, Media & Sport .",FALSE,"sub_organisation","news","no_featured_links",NA
"Chief Fire and Rescue Adviser","The Chief Fire and Rescue Adviser (CFRA) is employed by the Home Office and provides strategic advice and guidance to ministers, civil servants, fire and rescue authorities in England and other partners (including the devolved administrations, the police and Health and Safety Executive), on the structure, organisation and performance of fire and rescue authorities. CFRA is part of the Home Office .",FALSE,"sub_organisation","news","no_featured_links",NA
"Civil Nuclear Constabulary","The Civil Nuclear Constabulary (CNC) is the armed police force in charge of protecting civil nuclear sites and nuclear materials in England and Scotland. CNC is part of the Civil Nuclear Police Authority .",FALSE,"sub_organisation","news","Civil Nuclear Police Authority","https://www.gov.uk/government/organisations/civil-nuclear-police-authority"
"Civil Nuclear Constabulary","The Civil Nuclear Constabulary (CNC) is the armed police force in charge of protecting civil nuclear sites and nuclear materials in England and Scotland. CNC is part of the Civil Nuclear Police Authority .",FALSE,"sub_organisation","news","CNC Jobs ","http://www.cnc.jobs"
"Civil Service Board","The Civil Service Board (CSB) is responsible for the strategic leadership of the Civil Service, to make sure it works as a coherent and effective whole and has the capability both now, and in the future, to respond to any challenges. Chaired by the Chief Operating Officer for the Civil Service, Alex Chisholm, it is comprised of a cross-section of permanent secretaries from several Civil Service departments. Civil Service Board is part of the Civil Service .",FALSE,"sub_organisation","news","no_featured_links",NA
"Civil Service Fast Stream","The Civil Service Fast Stream team runs the government’s flagship Fast Stream graduate programme. Civil Service Fast Stream is part of Civil Service Resourcing and the Civil Service HR .",FALSE,"sub_organisation","news","Find out about the Fast Stream","http://www.faststream.gov.uk"
"Civil Service Group","Civil Service Group is part of the Cabinet Office .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Recruitment Service","The Government Recruitment Service (GRS) was launched in September 2017 and is part of Civil Service HR in the Cabinet Office. As an ‘in-house’ provider, GRS works to meet recruitment needs across government. We deliver around 70 per cent of the recruitment volume across the Civil Service and aspire to be the recruitment partner of choice for all Civil Service departments, agencies and approved non-departmental public bodies. GRS is part of the Civil Service HR .",FALSE,"sub_organisation","news","no_featured_links",NA
"Government Skills and Curriculum Unit","The Government Skills and Curriculum Unit (GSCU) was created in September 2020 and is part of Civil Service HR in the Cabinet Office. GSCU is part of the Cabinet Office and the Civil Service HR .",FALSE,"sub_organisation","news","no_featured_links",NA
"Conflict, Stability and Security Fund","The CSSF is a cross government fund which supports and delivers activity to prevent instability and conflicts that threaten UK interests. CSSF is part of the Cabinet Office .",FALSE,"sub_organisation","news","no_featured_links",NA
"Defence Academy of the United Kingdom","The Defence Academy delivers world-class professional defence and security education to students from the UK Armed Forces, Civil Service, industry and overseas. DA is part of the Ministry of Defence .",FALSE,"sub_organisation","news","no_featured_links",NA
"Defence Infrastructure Organisation","The Defence Infrastructure Organisation (DIO) is the estate expert for defence, supporting the armed forces to enable military capability by planning, building, maintaining, and servicing infrastructure. DIO is part of the Ministry of Defence .",FALSE,"sub_organisation","news","MOD Training Estate firing times ","https://www.gov.uk/government/organisations/ministry-of-defence/series/firing-notice"
"Defence Infrastructure Organisation","The Defence Infrastructure Organisation (DIO) is the estate expert for defence, supporting the armed forces to enable military capability by planning, building, maintaining, and servicing infrastructure. DIO is part of the Ministry of Defence .",FALSE,"sub_organisation","news","Read DIOlogue magazine","https://www.gov.uk/government/publications/diologue"
"Defence Infrastructure Organisation","The Defence Infrastructure Organisation (DIO) is the estate expert for defence, supporting the armed forces to enable military capability by planning, building, maintaining, and servicing infrastructure. DIO is part of the Ministry of Defence .",FALSE,"sub_organisation","news","Read Sanctuary magazine","https://www.gov.uk/government/publications/sanctuary"
"Defence Nuclear Organisation","Our mission is to keep safe and capable submarines at sea, maintain our nuclear warheads and provide the nuclear deterrent to protect national and global security. DNO is part of the Ministry of Defence .",FALSE,"sub_organisation","news","no_featured_links",NA
"Military Aviation Authority","The Military Aviation Authority is responsible for the regulation, assurance and enforcement of the defence air operating and technical domains. MAA is part of the Ministry of Defence and the Defence Safety Authority .",FALSE,"sub_organisation","news","Regulatory publications","https://www.gov.uk/government/collections/maa-regulatory-publications"
"Military Aviation Authority","The Military Aviation Authority is responsible for the regulation, assurance and enforcement of the defence air operating and technical domains. MAA is part of the Ministry of Defence and the Defence Safety Authority .",FALSE,"sub_organisation","news","Approvals schemes","https://www.gov.uk/government/collections/miltary-aviation-authority-approvals"
"Military Aviation Authority","The Military Aviation Authority is responsible for the regulation, assurance and enforcement of the defence air operating and technical domains. MAA is part of the Ministry of Defence and the Defence Safety Authority .",FALSE,"sub_organisation","news","Certification","https://www.gov.uk/government/collections/military-aviation-authority-certification"
"Military Aviation Authority","The Military Aviation Authority is responsible for the regulation, assurance and enforcement of the defence air operating and technical domains. MAA is part of the Ministry of Defence and the Defence Safety Authority .",FALSE,"sub_organisation","news","Air safety occurrence reporting","https://www.gov.uk/government/collections/reporting-air-safety-concerns"
